"Name","Size","Bytes"
"25231.png","?x?","8640"
"4b2b86358891f79d28170488e9dbd671.jpg","?x?","1228683"
"4k-animation-presenting-data-center-footage-084907643_prevstill.webp","?x?","524724"
"4k-animation-presenting-data-center-footage-084907643_prevstill_edited.jpg","?x?","2008262"
"Avg_Utilization_Ratio_plot.png","?x?","175199"
"BigData-Machine-Learning.jpg","?x?","195457"
"blue_short-8e7b30f73a4020692ccca9c88bafe5dcb6f8a62a4c6bc55cd9ba82bb2cd95f6c.jpg","?x?","5290"
"boxplot_Credit_Limit.png","?x?","79005"
"boxplot_Months_on_book.png","?x?","75613"
"boxplot_Total_Trans_Amt.png","?x?","90054"
"boxplot_Total_Trans_Ct.png","?x?","80943"
"cabinet-data-data-center-database.jpg","?x?","25741"
"Captura de tela 2024-10-19 191356.png","?x?","23775"
"carbon (1).png","?x?","212943"
"codetoimg-snippet (1).png","?x?","112969"
"codetoimg-snippet (10).png","?x?","80656"
"codetoimg-snippet (11).png","?x?","98357"
"codetoimg-snippet (12).png","?x?","56392"
"codetoimg-snippet (13).png","?x?","103566"
"codetoimg-snippet (14).png","?x?","96979"
"codetoimg-snippet (15).png","?x?","205335"
"codetoimg-snippet (16).png","?x?","134984"
"codetoimg-snippet (17).png","?x?","137825"
"codetoimg-snippet (18).png","?x?","131549"
"codetoimg-snippet (19).png","?x?","142619"
"codetoimg-snippet (2).png","?x?","112018"
"codetoimg-snippet (20).png","?x?","84370"
"codetoimg-snippet (21).png","?x?","133786"
"codetoimg-snippet (22).png","?x?","148025"
"codetoimg-snippet (23).png","?x?","189808"
"codetoimg-snippet (24).png","?x?","71232"
"codetoimg-snippet (25).png","?x?","78990"
"codetoimg-snippet (26).png","?x?","84057"
"codetoimg-snippet (27).png","?x?","299939"
"codetoimg-snippet (28).png","?x?","122622"
"codetoimg-snippet (29).png","?x?","302168"
"codetoimg-snippet (3).png","?x?","66923"
"codetoimg-snippet (30).png","?x?","536232"
"codetoimg-snippet (32).png","?x?","131302"
"codetoimg-snippet (33).png","?x?","234354"
"codetoimg-snippet (34).png","?x?","167917"
"codetoimg-snippet (35).png","?x?","183611"
"codetoimg-snippet (36).png","?x?","110014"
"codetoimg-snippet (37).png","?x?","71332"
"codetoimg-snippet (38).png","?x?","130754"
"codetoimg-snippet (39).png","?x?","120932"
"codetoimg-snippet (4).png","?x?","120169"
"codetoimg-snippet (41).png","?x?","153251"
"codetoimg-snippet (42).png","?x?","116900"
"codetoimg-snippet (43).png","?x?","125705"
"codetoimg-snippet (44).png","?x?","174356"
"codetoimg-snippet (45).png","?x?","178425"
"codetoimg-snippet (46).png","?x?","210002"
"codetoimg-snippet (47).png","?x?","169845"
"codetoimg-snippet (48).png","?x?","408020"
"codetoimg-snippet (49).png","?x?","484356"
"codetoimg-snippet (5).png","?x?","123242"
"codetoimg-snippet (51).png","?x?","279819"
"codetoimg-snippet (6).png","?x?","126917"
"codetoimg-snippet (67).png","?x?","455374"
"codetoimg-snippet (68).png","?x?","474038"
"codetoimg-snippet (69).png","?x?","300612"
"codetoimg-snippet (7).png","?x?","128073"
"codetoimg-snippet (70).png","?x?","496900"
"codetoimg-snippet (71).png","?x?","414542"
"codetoimg-snippet (72).png","?x?","407770"
"codetoimg-snippet (73).png","?x?","632494"
"codetoimg-snippet (74).png","?x?","288282"
"codetoimg-snippet (75).png","?x?","395465"
"codetoimg-snippet (76).png","?x?","147747"
"codetoimg-snippet (77).png","?x?","246569"
"codetoimg-snippet (78).png","?x?","454942"
"codetoimg-snippet (79).png","?x?","637475"
"codetoimg-snippet (8).png","?x?","119360"
"codetoimg-snippet (80).png","?x?","506664"
"codetoimg-snippet (81).png","?x?","82168"
"codetoimg-snippet (82).png","?x?","532501"
"codetoimg-snippet (83).png","?x?","432039"
"codetoimg-snippet (84).png","?x?","303360"
"codetoimg-snippet (85).png","?x?","502950"
"codetoimg-snippet.png","?x?","187439"
"Credit_Limit_distribution.png","?x?","498023"
"Credit_Limit_plot.png","?x?","180034"
"Customer_Age_distribution.png","?x?","510384"
"CUSTOMER_EDUCATION_LEVEL_distribuicao.png","?x?","257291"
"data-center-775ta0o0wf4nbyq3.jpg","?x?","270026"
"data-visualization.png","?x?","448004"
"data-visualization_edited.jpg","?x?","360831"
"Decision Tree_feature_importances.png","?x?","301475"
"Decision_Tree_Visualization.png","?x?","389264"
"Dependents_credit_limit.png","?x?","395107"
"digital-animation-of-business-stock-market-price-chart-free-video.jpg","?x?","78174"
"distribution.png","?x?","504007"
"download (1) (1) (1).png","?x?","216586"
"download (1) (1) (2).png","?x?","2561940"
"download (1) (1).png","?x?","361739"
"download (1).png","?x?","362436"
"Education_credit_limit.png","?x?","470927"
"Education_Level_pie_plot.png","?x?","346166"
"EMPLOYMENT_STATUS_distribuicao.png","?x?","171660"
"Gender_credit_limit.png","?x?","372231"
"high_quality_plot.png","?x?","362382"
"histogram_Blue.png","?x?","94775"
"histogram_Gold.png","?x?","78130"
"histogram_Platinum.png","?x?","76427"
"histogram_Platinum_edited.jpg","?x?","170574"
"histogram_Silver.png","?x?","81836"
"HOUSE_TYPE_distribuicao.png","?x?","304040"
"image.png","?x?","56151"
"imagem_2024-04-05_225210528_edited_edited.jpg","?x?","26913"
"imagem_2024-04-05_225210528_edited_edited_edited.jpg","?x?","26421"
"imagem_2024-04-06_000047579.png","?x?","55463"
"imagem_2024-04-07_170034940.png","?x?","26751"
"imagem_2024-04-16_182404676.png","?x?","37642"
"imagem_2024-04-16_190942606.png","?x?","2069369"
"imagem_2024-04-16_193154433.png","?x?","474089"
"imagem_2024-04-17_145539454-transformed (1).png","?x?","6190440"
"imagem_2024-04-17_145539454-transformed.png","?x?","1314771"
"imagem_2024-04-17_152143748-transformed.png","?x?","2525246"
"imagem_2024-04-17_234326447-transformed (1).png","?x?","1503897"
"imagem_2024-04-17_234326447-transformed (2).png","?x?","5251153"
"imagem_2024-04-17_235648812-transformed (1).png","?x?","1614186"
"imagem_2024-04-19_173603275 (1).png","?x?","5448424"
"imagem_2024-04-20_230143498.png","?x?","80950"
"imagem_2024-10-26_201221568-removebg-preview.png","?x?","157088"
"imagem_2025-03-07_191255168 (2).png","?x?","4715328"
"imagem_2025-03-07_191255168.png","?x?","4715328"
"imagem_2025-03-07_192859658.png","?x?","307928"
"imagem_2025-03-07_233946263.png","?x?","197875"
"imagem_2025-03-10_004925586.png","?x?","715815"
"imagem_2025-03-12_012347976.png","?x?","34251"
"imagem_2025-03-12_012533243.png","?x?","88246"
"images (1).png","?x?","135262"
"images.png","?x?","1474"
"Income Level_credit_limit.png","?x?","502113"
"Income_Category_pie_plot.png","?x?","320980"
"iStock-1205321953.png","?x?","135542"
"iStock-1205321953_edited.jpg","?x?","639341"
"Marital Status_credit_limit.png","?x?","434449"
"MARITAL_STATUS_distribuicao.png","?x?","143208"
"Marital_Status_pie_plot.png","?x?","234670"
"matriz_confusao_Decision Tree.png","?x?","147743"
"matriz_confusao_Random Forest.png","?x?","142908"
"matriz_confusao_XGBoost.png","?x?","114217"
"Months_on_book_distribution.png","?x?","439183"
"obrabo.png","?x?","35336"
"output.png","?x?","362436"
"output2.png","?x?","437355"
"output-onlinepngtools.png","?x?","155297"
"Parallel Lines_edited.jpg","?x?","1364552"
"plot_CUSTOMER_EDUCATION_LEVEL_excluindo_A.png","?x?","112287"
"plot_CUSTOMER_EDUCATION_LEVEL_excluindo_D.png","?x?","120890"
"plot_SOCIAL_CLASS_excluindo_A.png","?x?","71001"
"plot_SOCIAL_CLASS_excluindo_D.png","?x?","71443"
"pngtree-aesthetic-technology-abstract-city-architecture-banner-background-material-picture-image_940398.jpg","?x?","732986"
"pngtree-aesthetic-technology-abstract-city-architecture-banner-background-material-picture-image_940398_edited.jpg","?x?","454877"
"pngtree-blue-technology-background-in-the-era-of-aesthetic-technology-and-intelligence-image_945156.jpg","?x?","82187"
"pngtree-blue-technology-background-in-the-era-of-aesthetic-technology-and-intelligence-picture-image_1637476.jpg","?x?","569082"
"pngtree-blue-technology-background-in-the-era-of-aesthetic-technology-and-intelligence-picture-image_1637476_edited.jpg","?x?","377439"
"PowerBI-1.webp","?x?","12516"
"QuintoAndar-lanca-modelo-de-assessoria-para-multiplos-imoveis.png","?x?","11177"
"QuintoAndar-lanca-modelo-de-assessoria-para-multiplos-imoveis_edited.jpg","?x?","62701"
"QuintoAndar-lanca-modelo-de-assessoria-para-multiplos-imoveis_edited_edited.jpg","?x?","61136"
"QuintoAndar-lanca-modelo-de-assessoria-para-multiplos-imoveis_edited_edited_edited.jpg","?x?","60013"
"QuintoAndar-lanca-modelo-de-assessoria-para-multiplos-imoveis_edited_edited_edited_edited.jpg","?x?","60320"
"Random Forest_feature_importances.png","?x?","311533"
"Random_Forest_Tree_Visualization.png","?x?","359640"
"ray-so-export (1).png","?x?","160135"
"ray-so-export (2).png","?x?","175435"
"RISK_SEGMENTATION_distribuicao.png","?x?","312744"
"SOCIAL_CLASS_distribuicao.png","?x?","182643"
"Sphere ob Spiral Stairs_edited.jpg","?x?","1966764"
"Total Products_credit_limit.png","?x?","408352"
"Total_Trans_Amt_plot.png","?x?","206618"
"Total_Trans_Ct_plot.png","?x?","181810"
"ue.png","?x?","2987683"
"ue_edited.png","?x?","184212"
"Untitled (1).png","?x?","5193907"
"Untitled (2).png","?x?","44864"
"Untitled.png","?x?","60287"
"XGBoost_feature_importances.png","?x?","299485"
"XGBoost_Tree_Visualization.png","?x?","165057"
"XGBoost_Tree_Visualization_edited.jpg","?x?","214554"
"XGBoost_Tree_Visualization-removebg-preview.png","?x?","55682"
